query,is_hallucinated_gt,response,frac_unsupported_embedding,direct_judge_context_relevant,direct_flagged,lr_risk_probability,cascade_judge_fired,cascade_label,cascade_flagged
How can I see the top Juniper Mist switches with the highest total routes?,False,"To see the top Juniper Mist switches with the highest total routes, you can use the following API endpoint:

GET /app/api/reports/top_n/JUNIPER-MIST-SWITCH/total_routes

This will display the top Juniper Mist switches ranked by total routes.",0.0,true,False,0.0455,False,low,False
How can I check the overall cache hit ratio for my PostgreSQL database?,False,"You can check the overall cache hit ratio for your PostgreSQL database by using the following API endpoint:

GET /app/api/reports/top_n/POSTGRESQL/overall_cache_hit_ratio

This will provide a report showing the top PostgreSQL databases ranked by their overall cache hit ratio.",0.0,true,False,0.0755,False,low,False
How can I retrieve the monitor status counts at app startup,False,"To retrieve the monitor status counts at app startup, you can use the GET request:

```
GET https://www.site24x7.com/app/api/monitors/status/count
```

This returns the account-wide count of monitors grouped by their current operational status (Up/Down/Trouble/Critical/Suspended/Maintenance/Discovery/Configuration Error) along with a grand total and error count. This endpoint powers the status-summary widget shown at the top of the dashboard and is suitable for retrieving monitor status counts at app startup.",0.0,true,False,0.5793,True,low,False
How can I check the availability summary for my GCP Cloud KMS?,False,"You can check the availability summary for your GCP Cloud KMS by making a GET request to the following endpoint:

GET /app/api/reports/availability_summary/type/CLOUDKMS

This will obtain the availability summary report for Google Cloud Platform Cloud KMS.",0.0,true,False,0.0622,False,low,False
fetch mapped Kubernetes DaemonSets outages report,False,"To fetch the mapped Kubernetes DaemonSets outages report, use the following API endpoint:

GET /app/api/reports/outages/type/KUBERNETES_DAEMONSETS

This endpoint retrieves outage reports for Kubernetes DaemonSets, detailing downtime and availability issues.",0.0,true,False,0.0378,False,low,False
List all users in the account,True,"To list all users in the account, use the following API endpoint:

GET /app/api/short/users_list

This endpoint returns a summarized list of all user accounts associated with your Site24x7 account. The response includes basic details such as user IDs, roles, and status. Note that this endpoint requires an API key with user read permissions and supports optional query parameters for pagination, such as `page` and `limit` (default limit is 50 users per request).",0.667,true,True,0.1327,True,high,True
How can I view outage reports for Meraki wireless radios?,True,"To view outage reports for Meraki wireless radios, you can use the following API endpoint:

GET /app/api/reports/outages/type/MERAKIRADIO

This endpoint retrieves detailed outage reports specific to Meraki wireless radios, highlighting downtime incidents and disruptions. The response includes timestamps, duration of outages, and affected device identifiers. Note that the request requires an API key passed as a query parameter named `api_token` for authentication.",0.667,true,True,0.0371,True,medium,True
How can I view the availability summary for my VMware resource pool?,True,"To view the availability summary for your VMware resource pool, you can use the following API endpoint:

GET /app/api/reports/availability_summary/type/VMWARE_RESOURCEPOOL

This endpoint retrieves the availability summary report specifically for VMware resource pools, detailing their uptime and availability metrics. You can include optional query parameters such as start_time and end_time in ISO 8601 format to specify the reporting period. The response will provide a detailed breakdown of resource pool uptime, downtime, and overall availability percentage. Note that the default timezone for the report is UTC unless otherwise specified.",0.5,true,True,0.4494,True,medium,True
How can I view the summary report for my Microsoft SQL Server databases?,True,"To view the summary report for your Microsoft SQL Server databases, you can use the following API endpoint:

GET /app/api/reports/summary/type/MSSQL_DATABASE

This endpoint retrieves an overview of the status and performance of your Microsoft SQL Server databases. Make sure to include the necessary authentication headers in your request. The response will provide key metrics and insights specific to your SQL Server databases, helping you monitor their health and performance effectively. 

Note that a successful request returns a 201 status code along with the report data.",0.5,true,True,0.0903,True,medium,True
send email delivery report in Reports module,True,"To send an email delivery report in the Reports module, you should use the POST endpoint:

```
POST /app/api/reports/email
```

This endpoint generates and sends mail delivery reports via email, allowing you to track and analyze email delivery performance. You need to provide the appropriate report parameters in the request body, such as the email recipients, report type, and date range. The API responds with a 201 status code upon successful submission of the report.

For scheduling recurring email delivery reports, you can use:

```
POST /app/api/send_scheduled_reports
```

which allows you to create or submit data for scheduled reports that will be sent automatically at defined intervals.

Note that the email delivery report generated via `/app/api/reports/email` includes an optional parameter called `include_bounce_stats` (default: false) to include bounce rate statistics in the report summary.",0.2,true,False,0.0767,True,medium,True
Can I delete SLA report settings for a specific ID,True,"Yes, you can delete SLA report settings for a specific ID using the DELETE method on the endpoint /app/api/sla_settings/{id}. For example, to delete the SLA settings with ID 15698000493103037, you would send a DELETE request to /app/api/sla_settings/15698000493103037. This operation will remove the SLA settings data associated with that ID. Note that the API returns a 204 No Content status code upon successful deletion.",0.25,true,False,0.0785,True,medium,True
fetch top Cognito User Pools by total app client count report,True,"To fetch the top Cognito User Pools ranked by total app client count, use the following GET request:

```
GET /app/api/reports/top_n/COGNITO-USER-POOL/total_app_client_count
```

This endpoint returns a report listing Cognito user pools sorted by the number of app clients associated with each pool. Note that the response includes a ""limit"" query parameter defaulting to 50, which you can adjust to control how many top results are returned.",0.5,true,True,0.0844,True,medium,True
How can I see detailed Linux service information for a specific Azure VM?,True,"To see detailed Linux service information for a specific Azure Virtual Machine, you can use the following API endpoint:

GET /app/api/reports/child-details/AZURE-VM/LinuxServiceDetails/{id}

Replace {id} with the unique identifier of the Azure VM you want to query. This endpoint retrieves comprehensive details about the Linux services running on the specified Azure VM, including service status, start type, and resource usage metrics. Note that the response is returned in XML format by default, but you can specify JSON by setting the Accept header to application/json.",0.333,partial,True,0.1001,True,medium,True
How do I update a notification profile in Site24x7 using the?,True,"To update a Notification Profile in Site24x7, you need to use the PUT method on the endpoint:

```
PUT https://www.site24x7.com/app/api/notification_profiles/{id}
```

Replace `{id}` with the specific Notification Profile ID you want to update. The request body must include the full structure of the profile, resubmitting all the configuration sections such as:

- `alert_configuration` (defines which notification mediums trigger during business hours and monitor statuses)
- `notification_delay_configuration` (sets delays before alerts are sent)
- `persistent_alert_configuration` (controls repeat-alert behavior and third-party notifications)
- `escalation_configuration` (multi-level escalation specifying user groups and IT automation actions)
- `template_id` (the linked email template ID)

Make sure to provide all these fields even if only some values are changed, as the update replaces the entire profile structure. The API will respond with a 201 status code upon successful update.",0.333,true,True,0.3474,True,medium,True
How can I view the availability details in the SLA report?,True,"To view the availability details in the SLA report, you can use the GET endpoint:

```
GET /app/api/reports/sla_reports/availability
```

This endpoint retrieves detailed availability statistics specifically included in the SLA report for your monitored services. It provides comprehensive data on uptime and downtime, helping you assess service reliability against SLA commitments. Note that this request requires authentication and supports optional query parameters to filter the report by date range and service type. For example, you can specify a `startDate` and `endDate` in the query string to limit the report to a specific period.",0.5,true,True,0.0673,True,high,True
How can I retrieve all notification profiles in Site24x7,True,"To retrieve all notification profiles in Site24x7, you can use the following endpoint:

GET https://www.site24x7.com/app/api/notification_profiles

This API call returns the full list of existing Notification Profiles. Each profile includes details such as alert_configuration (which notification mediums fire per business-hours window and monitor status), notification_delay_configuration, persistent_alert_configuration (repeat-alert behavior and third-party services to notify), multi-level escalation_configuration (user group and IT-automation actions per escalation level), and a linked email template ID.

Note that the endpoint also supports an optional query parameter `include_inactive` (boolean) to include deactivated profiles in the response, which defaults to false.",0.333,partial,True,0.1615,True,medium,True
Can I erase dashboard_views data from the Share module,True,"Yes, you can erase dashboard_views data from the Share module by using the DELETE endpoint provided by the Site24x7 Admin API. Specifically, you would send a DELETE request to /app/api/dashboard_views/{dashboard_view_id}, where {dashboard_view_id} is the identifier of the dashboard view you want to delete. For example, to delete a dashboard view with ID 15698000033393001, you would send a DELETE request to /app/api/dashboard_views/15698000033393001. This operation will remove the specified Operations Dashboard data completely from the Share module. Note that this DELETE request requires a valid API key with admin privileges and will return a 204 No Content status on successful deletion.",0.2,partial,True,0.2132,True,medium,True
fetch Tencent CVM memory usage report,True,"To fetch the Tencent Cloud CVM memory usage report, you can use the following API endpoint:

GET /app/api/reports/top_n/TENCENTCLOUD_CVM/MemUsage

This will provide a report of the top memory usage statistics for Tencent Cloud CVM instances. Note that the response includes detailed metrics such as average memory usage, peak memory consumption, and a timestamp for each instance. The API requires an API key to be passed as a query parameter named `apiKey` for authentication.",0.667,partial,True,0.329,True,medium,True
How can I view a summary report for my GCP Spanner database?,True,"To view a summary report for your GCP Spanner database, you can use the following API endpoint:

GET /app/api/reports/summary/type/SPANNER

This endpoint provides a summary report highlighting key metrics and the status of your GCP Spanner databases. Make sure to include the necessary authentication headers, and you can optionally filter the report by specifying query parameters like start_date and end_date for a specific time range. The response will include details such as database size, query throughput, and connection status.",0.667,partial,True,0.0423,True,high,True
add zendesk to site24x7 alerts,True,"To add Zendesk integration to Site24x7 alerts, you need to create or update the Zendesk integration using the following API endpoint:

**Endpoint:**  
POST /app/api/integration/zen_desk

**Description:**  
This endpoint allows you to create or update a Zendesk integration that automatically creates Zendesk tickets whenever Site24x7 generates alerts.

**Example Request:**  
```json
{
  ""zendesk_domain"": ""yourcompany.zendesk.com"",
  ""api_token"": ""your_api_token"",
  ""email"": ""your_email@example.com"",
  ""ticket_priority"": ""high"",
  ""ticket_type"": ""incident""
}
```

Make sure to include the necessary authentication headers and provide the correct Zendesk domain, API token, and email associated with your Zendesk account. This setup ensures that alerts from Site24x7 are seamlessly converted into Zendesk tickets for tracking and resolution.

Note: The request must be sent using the DELETE method to correctly register the integration.",0.5,partial,True,0.0737,True,medium,True
fetch Microsoft Hyper-V Server availability report,True,"To fetch the availability report for Microsoft Hyper-V servers, use the following API endpoint:

GET /app/api/reports/availability_summary/type/HYPERV

This will provide an availability summary report specifically for Microsoft Hyper-V servers. Note that the request should include an optional query parameter `dateRange` in the format YYYY-MM-DD to specify the period for the report; if omitted, the default range is the past 30 days.",0.5,true,True,0.0746,True,medium,True
list DigitalOcean load balancers frontend HTTP requests per second report,True,"To list the DigitalOcean load balancers frontend HTTP requests per second report, you can use the following API endpoint:

GET /app/api/reports/top_n/DIGITALOCEAN_LOAD_BALANCER/frontend_http_requests_per_second

This request retrieves the top DigitalOcean load balancers ranked based on the number of frontend HTTP requests they handle per second. The response includes details such as load balancer ID, name, and the HTTP requests per second metric. Note that this endpoint supports an optional query parameter `region` to filter results by geographic location, defaulting to `all` regions if not specified.",0.333,true,True,0.1053,True,medium,True
How can I get a list of business hours profiles for threshold rules,True,"To get a list of Business Hours profiles that can be used for threshold rules, you should use the endpoint:

```
GET https://www.site24x7.com/app/api/short/business_hours
```

This endpoint returns a lightweight list containing only the ID and name of each Business Hours profile, which is ideal for populating dropdown options when configuring time-based threshold rules. If you need the full details of each Business Hours profile, including the weekly schedule with start and end times per day, you can use:

```
GET https://www.site24x7.com/app/api/business_hours
```

Note that the lightweight version is specifically designed to be used during threshold profile creation or editing to select the appropriate Business Hours window per rule. The endpoint responds with an HTTP 201 status code upon success.",0.333,true,True,0.0693,True,medium,True
get availability report for Azure NAT gateways,True,"To get the availability report for Azure NAT gateways, you should use the following API endpoint:

GET /app/api/reports/availability_summary/type/AZURE-NATGATEWAY

This endpoint fetches availability summary reports that help assess the uptime and reliability of your Azure NAT gateways. The response will include detailed metrics on availability percentages, downtime periods, and overall reliability scores. Note that this endpoint requires an API key with read permissions and supports optional query parameters like startDate and endDate to specify the reporting period.",0.667,true,True,0.0765,True,medium,True
How can I see outage reports for Azure Private DNS zones?,True,"To see outage reports for Azure Private DNS zones, you need to make a GET request to the following endpoint:

GET /app/api/reports/outages/type/AZURE-PRIVATEDNS

This API call retrieves detailed outage reports specifically for Azure Private DNS zones, allowing you to monitor their availability and downtime events. The response typically includes timestamps, duration of outages, and affected zone details. Note that the API also supports an optional query parameter ""region"" to filter outages by geographic location, with a default value of ""global"".",0.667,true,True,0.0343,True,high,True
Show me all monitor poller groups and their details,True,"To retrieve all monitor poller groups and their details, you can use the following API endpoint:

```
GET /app/api/monitors/pollergroups
```

This endpoint returns the available poller groups that can be assigned to monitors, including their names, IDs, and associated network segments. The response typically includes details such as poller group ID, group name, and the list of pollers within each group, along with their status and last-polled time.

For example, a sample response might look like this:
```json
{
  ""poller_groups"": [
    {
      ""id"": ""pg12345"",
      ""name"": ""Primary Pollers"",
      ""pollers"": [
        {
          ""id"": ""p1"",
          ""name"": ""Poller A"",
          ""status"": ""active"",
          ""last_polled"": ""2024-06-10T12:34:56Z"",
          ""network_segment"": ""Segment 1""
        },
        {
          ""id"": ""p2"",
          ""name"": ""Poller B"",
          ""status"": ""inactive"",
          ""last_polled"": ""2024-06-09T08:22:30Z"",
          ""network_segment"": ""Segment 1""
        }
      ]
    },
    {
      ""id"": ""pg67890"",
      ""name"": ""Secondary Pollers"",
      ""pollers"": [
        {
          ""id"": ""p",0.0,partial,True,0.3398,False,low,False
fetch top N keys report for Tencent Cloud Redis,True,"To fetch the top N keys report for Tencent Cloud Redis, you can use the following API endpoint:

GET /app/api/reports/top_n/TENCENTCLOUD_REDIS/Keys

This endpoint retrieves the most accessed or largest keys for your Tencent Cloud Redis instances. You can include an optional query parameter `top_n` to specify the number of top keys you want to retrieve. For example, to get the top 10 keys, you would call:

GET /app/api/reports/top_n/TENCENTCLOUD_REDIS/Keys?top_n=10

The response will include details such as key names, access frequency, and size. Note that the default value for `top_n` is 50 if not specified.",0.25,true,False,0.1548,True,high,True
How can I view the availability summary for my EC2 Auto Scaling Groups?,True,"To view the availability summary for your EC2 Auto Scaling Groups, you can use the following API endpoint:

GET /app/api/reports/availability_summary/type/EC2AUTOSCALING

This endpoint provides an availability summary report that helps you monitor the uptime metrics of your EC2 Auto Scaling Groups. The response includes detailed information about the availability status and any downtime events. Note that this API requires an API key to be included in the request header for authentication.",0.667,true,True,0.0725,True,medium,True
get table preferences for oauth providers grid,True,"To get the saved column-layout preferences for the OAuth Providers grid, you should make a GET request to the following endpoint:

```
GET https://www.site24x7.com/app/api/preferences/table/7
```

This endpoint fetches the user's saved preferences specifically for the list-view table with ID 7, which corresponds to the OAuth Providers grid. The response will include the column layout settings if any are saved; otherwise, it may return an empty result. Note that this endpoint requires an API key passed as a query parameter named `apikey` for authentication.",0.333,true,True,0.1118,True,medium,True
How do I fetch uptime monitor operations data using the?,True,"To fetch uptime monitor operations data, you can use the GET endpoint:

```
GET /app/api/uptime_monitor/{monitor_id}
```

Replace `{monitor_id}` with the specific ID of the uptime monitor you want to retrieve data for. For example:

```
GET /app/api/uptime_monitor/15698000329374414
```

This endpoint returns operations data related to the uptime monitor, which supports lookup and is used by multiple sub-features.

Note that an optional query parameter `includeDetails=true` can be added to include extended metadata about the monitor's operational status, though this parameter defaults to `false` if omitted.",0.0,partial,True,0.7084,True,medium,True
How can I see which VPC network interfaces had skipped records in the top N report?,True,"To see which VPC network interfaces had skipped records in the top N report, you can use the following API endpoint:

GET /app/api/reports/top_n/VPC_NI/skipped_records

This endpoint fetches a report of VPC network interfaces with the highest counts of skipped records in the top N listing. Note that you can also specify an optional query parameter `limit` (default is 25) to control the number of records returned in the report.",0.5,true,True,0.1116,True,medium,True
fetch ECS Cluster outage report data,True,"To fetch the ECS Cluster outage report data, you need to send a GET request to the following endpoint:

```
GET /app/api/reports/outages/type/ECSCLUSTER
```

This endpoint retrieves detailed outage reports specifically for ECS clusters, allowing you to monitor cluster availability and downtime events. The response will include information such as the start and end times of outages, affected cluster nodes, and the overall impact on service availability.

Make sure to include your API authentication token in the request headers. Note that this endpoint supports an optional query parameter `duration_days` (defaulting to 30 days) to specify the timeframe for the outage data returned.",0.5,true,True,0.0471,True,high,True
How can I see which processes are using the most memory on my agentless servers?,True,"To see which processes are using the most memory on your agentless servers, you can use the following API endpoint:

GET /app/api/reports/top_n/AGENTLESSSERVER/process_memory

This request retrieves a report listing the top processes consuming the most memory on agentless servers, helping you identify memory-intensive processes efficiently. The response includes details such as process names, memory usage in MB, and the associated server names.",0.0,true,False,0.1697,False,low,False
How can I check the highest latency for Azure Key Vault services?,True,"To check the highest latency for Azure Key Vault services, you can use the following API endpoint:

GET /app/api/reports/top_n/AZURE-VAULT/service_api_latency

This request retrieves a report listing the Azure Key Vault services with the highest API latency values, helping you identify performance bottlenecks. The response typically includes details such as the service name, latency metrics, and timestamps. Note that the default limit for the number of entries returned is 50, but you can customize this with the 'limit' query parameter if needed.",0.667,true,True,0.0693,True,medium,True
get autonomously mapped VPC performance reports,True,"To get autonomously mapped VPC performance reports, you can use the following API endpoint:

GET /app/api/reports/performance/type/VPC

This endpoint retrieves the performance report for a specified VPC, providing detailed metrics and insights on its operation. Additionally, if you want reports on specific components within the VPC, you can use:

- GET /app/api/reports/performance/type/VPC_SUBNET for subnet-level metrics.
- GET /app/api/reports/performance/type/VPC_NATGATEWAY for NAT Gateway performance statistics.

For automatically mapped VPC reports, ensure to include the query parameter `autoMap=true` to enable autonomous mapping of performance data during the request.",0.0,partial,True,0.5378,True,medium,True
request to modify JWT configuration profile,True,"To modify an existing JWT configuration profile, you should use the PUT method on the endpoint:

```
PUT https://www.site24x7.com/app/api/jwt/{id}
```

Replace `{id}` with the specific JWT profile ID you want to update. The request body should include the updated settings such as the token URI, the HTTP method to fetch the token, refresh interval, how and where the token is sent (e.g., header name and value), associated user groups, custom headers, and any fetch expressions.

Note that the default HTTP method used to fetch the token is POST unless otherwise specified. After sending the PUT request, a successful update will return a 201 Created status code indicating the profile has been modified.",0.5,true,True,0.2059,True,medium,True
fetch top N Microsoft SQL Server target server memory report,True,"To fetch the top N Microsoft SQL Server instances ranked by their target server memory usage, you can use the following API endpoint:

GET /app/api/reports/top_n/SQLSERVER/target_server_memory

Include the query parameter `count` to specify the number of top instances you want to retrieve. For example, to get the top 10 instances, your request would look like this:

GET /app/api/reports/top_n/SQLSERVER/target_server_memory?count=10

This will return a report of the top 10 SQL Server instances ordered by their target server memory usage. The response includes details such as instance name, memory usage metrics, and server ID.",0.333,true,True,0.0375,True,high,True
list Aruba Gateway memory utilization report,True,"To list the Aruba Gateway memory utilization report, you can use the following API endpoint:

GET /app/api/reports/top_n/ARUBACENTRAL-GATEWAY/memory_util

This endpoint fetches the top Aruba Central Gateway devices based on memory utilization, showing the devices with the highest memory usage statistics. The response includes detailed metrics to help identify which gateways are using the most memory. Note that this endpoint requires a query parameter ""limit"" (default value is 50) to specify the number of top devices to return.",0.0,true,False,0.0648,False,low,False
pull all monitors tied to a resource profile,True,"To pull all monitors tied to a specific resource profile, you should use the following API endpoint:

GET /app/api/resource_profile/associated_monitors

This endpoint will list all monitors associated with the specified resource profile. You need to provide the resource profile ID as a query parameter named `resource_profile_id`. For example:

```
GET /app/api/resource_profile/associated_monitors?resource_profile_id=12345
```

This call will return a JSON array of monitors linked to that resource profile. Note that the response includes detailed monitor information such as monitor ID, name, type, and status. The API responds with HTTP status code 200 upon success.",0.2,true,False,0.3042,True,high,True
fetch Kubernetes DaemonSets outages report,True,"To fetch the Kubernetes DaemonSets outages report, you can make a GET request to the following endpoint:

```
GET /app/api/reports/outages/type/KUBERNETES_DAEMONSETS
```

This API call will retrieve detailed outage reports for Kubernetes DaemonSets, including information about downtime and availability issues. Note that the response will include timestamps, affected nodes, and the duration of each outage event.",0.5,true,True,0.0358,True,medium,True
How can I view performance reports for my Google Cloud Routers?,True,"To view performance reports for your Google Cloud Routers, you can use the following API endpoint:

GET /app/api/reports/performance/type/ROUTER

This endpoint fetches detailed performance reports specifically for Google Cloud Routers, providing insights into metrics such as throughput, latency, and packet loss. You need to make a GET request to this URL, and ensure you include the appropriate authentication headers. Note that the response will include a ""routerPerformanceScore"" field, which rates the overall health of each router on a scale from 0 to 100. This helps you quickly assess how well each router is performing.",0.75,partial,True,0.0596,True,high,True
fetch SLA settings data for monitor 3 report,True,"To fetch SLA settings data for the monitor with ID 3, you should use the following GET request:

```
GET /app/api/short/sla_settings/monitors/3
```

This endpoint returns the SLA settings specific to monitor 3. The response will include parameters such as uptime thresholds, maintenance windows, and penalty configurations. Note that this request requires an API key with read permissions on SLA configurations and returns data in JSON format with a 202 HTTP status code upon success.",0.333,true,True,0.0527,True,medium,True
Retrieve Amazon EventBridge configuration,True,"To retrieve the Amazon EventBridge configuration details for the current user account, you can use the following API endpoint:

**GET /app/api/aws/add/event_bridge/{user_id}**

This request fetches the EventBridge configuration to pre-populate the integration form. Replace `{user_id}` with the actual user ID of the account for which you want to retrieve the configuration. The response will include details such as the EventBridge rule ARN, target settings, and the region where the integration is set up.

Note: This endpoint requires an API key with read permissions and returns a JSON object containing the configuration parameters, including a rarely documented field called `eventPriorityLevel` which defaults to ""medium"".",0.75,true,True,0.1337,True,medium,True
Retrieve general app bootstrap details for an APM application instance,True,"To retrieve general app bootstrap details for a specific APM application instance, you should use the following endpoint:

GET https://www.site24x7.com/app/api/apminsight/ins/{instance_id}

Replace {instance_id} with the actual instance ID of the APM application. This call fetches a detailed performance and health snapshot, including instance ID, host/cloud information, CPU, memory, response-time statistics, exception counts, and overall availability and health status. It is typically fired during the initial app bootstrap phase before any of the 16 configuration sections are opened, to populate the dashboard APM-summary widget. The response also includes a timestamp field named ""bootstrapTime"" indicating when the snapshot was taken.",0.5,partial,True,0.359,True,medium,True
for adding business hours schedule,True,"To add a new Business Hours schedule, you need to use the following API endpoint:

**POST** https://www.site24x7.com/app/api/business_hours

When making the POST request, include a JSON payload with these key fields:
- `display_name`: A string representing the name of the Business Hours profile.
- `description`: A string describing the profile (optional but recommended).
- `time_config`: An object specifying the schedule for each day of the week, typically including start and end times per day.

For example, your JSON body might look like this:
```json
{
  ""display_name"": ""Standard Office Hours"",
  ""description"": ""Business hours for the main office"",
  ""time_config"": {
    ""monday"": {""start_time"": ""09:00"", ""end_time"": ""17:00""},
    ""tuesday"": {""start_time"": ""09:00"", ""end_time"": ""17:00""},
    ""wednesday"": {""start_time"": ""09:00"", ""end_time"": ""17:00""},
    ""thursday"": {""start_time"": ""09:00"", ""end_time"": ""17:00""},
    ""friday"": {""start_time"": ""09:00"", ""end_time"": ""17:00""},
    ""saturday"": {""start_time"": ""00:00"", ""end_time"": ""00:00""},
    ""sunday"": {""start_time"": ""00:00"", """,0.5,true,True,0.8021,True,medium,True
How can I check outage reports for Kubernetes persistent volume claims?,True,"To check outage reports for Kubernetes Persistent Volume Claims (PVCs), you can use the following API endpoint:

GET /app/api/reports/outages/type/KUBERNETES_PVC

This endpoint retrieves detailed outage reports specific to Kubernetes PVCs, including their downtime history and incident details. Note that the response also includes a ""severity_level"" field indicating the impact of each outage, which can help prioritize remediation efforts.",0.5,partial,True,0.0787,True,medium,True
How can I view performance reports for Kubernetes nodes?,True,"To view performance reports for Kubernetes nodes, you can use the following API endpoint:

GET /app/api/reports/performance/type/KUBERNETES_NODE

This endpoint fetches detailed performance reports for Kubernetes nodes, including key performance metrics and health status. Note that this request supports an optional query parameter ""detailLevel"" which can be set to ""basic"" or ""advanced"" to control the granularity of the report. The default is ""advanced"".",0.667,partial,True,0.0602,True,medium,True
How do I view the full list of scheduled reports,True,"To view the full list of scheduled reports, you should use the GET request to the endpoint:

```
GET /app/api/scheduled_reports
```

This endpoint retrieves all the scheduled reports along with their details such as report name, schedule frequency, recipients, and status. The response includes a comprehensive list that allows you to see every scheduled report configured in your Site24x7 account. Note that this endpoint supports an optional query parameter `include_archived` (default: false) to also fetch archived scheduled reports if needed.",0.0,partial,True,0.7286,True,high,True
How can I retrieve a list of all IT automation rules in Site24x7,True,"To retrieve a list of all IT automation rules in Site24x7, you should use the following API endpoint:

GET /app/api/it_automation

This endpoint returns the full list of IT automation configurations, including all rules set up for automated responses. Note that while there is also a GET /app/api/it_automation/list endpoint, it provides only a subset of automation actions available for selection rather than the complete rule configurations. 

For a lightweight list of IT Automation 'Actions' with just id, name, and type, you can use:

GET https://www.site24x7.com/app/api/short/actions

This is typically used when building Notification Profiles or selecting escalation actions.

Keep in mind that the GET /app/api/it_automation endpoint returns data in XML format by default, but you can request JSON by setting the Accept header accordingly.",0.0,true,False,0.7043,True,medium,True
How can I view outage reports for my AWS Step Function state machines?,True,"To view outage reports for your AWS Step Function state machines, you can use the following API endpoint:

GET /app/api/reports/outages/type/STEPFUNCTION

This request retrieves detailed outage reports specifically for AWS Step Function state machines, allowing you to track their availability and periods of downtime. The response typically includes timestamps, duration of outages, and affected state machine identifiers. Note that the request requires an API key with read permissions on outage reports. The default report period is the last 30 days unless a custom date range is specified using the optional query parameters `startDate` and `endDate` in YYYY-MM-DD format.",0.5,partial,True,0.0394,True,high,True
How can I view the performance report for my PostgreSQL databases?,True,"To view the performance report for your PostgreSQL databases, you can send a GET request to the following endpoint:

GET /app/api/reports/performance/type/POSTGRESQL

This will retrieve a detailed performance report presenting key performance metrics for your PostgreSQL databases, including query response times, transaction rates, and cache utilization. Note that the response also includes a custom field called ""load_variance"" which highlights fluctuations in database load over the last hour.",0.5,true,True,0.0612,True,medium,True
How can I see which VPCs have the highest incoming traffic volume?,True,"To see which VPCs have the highest incoming traffic volume, you can use the following API endpoint:

GET /app/api/reports/top_n/VPC/max_rx_volume

This request retrieves a report showing VPCs ranked by their highest incoming traffic volumes. The response will list VPCs sorted in descending order based on the volume of data they have received. Note that this endpoint supports an optional query parameter ""region"" to filter the results by a specific AWS region.",0.333,true,True,0.8174,True,medium,True
get child process details for agentless server report,True,"To get child process details for an agentless server, you should use the following endpoint:

GET /app/api/reports/child-details/AGENTLESSSERVER/ProcessDetails/{id}

Replace {id} with the specific agentless server's identifier. This API call fetches detailed information about the running processes on the specified agentless server, including child processes and their resource usage. Note that this endpoint supports an optional query parameter ""includeChildProcesses"" (boolean) which defaults to true, ensuring that child process details are included in the response.",0.0,partial,True,0.0419,False,low,False
How do I retrieve alert logs for deleted or hidden monitors in Site24x7,True,"To retrieve alert logs for deleted or hidden monitors in Site24x7, you can use the following API endpoint:

GET /app/api/applog/dele_hid_monitors

This endpoint specifically fetches alert log data related to monitors that have been deleted or hidden. Ensure you include the appropriate authentication headers with your request. The response will contain detailed alert log entries for those deleted or hidden monitors, including timestamps and alert status.

Note that this endpoint supports an optional query parameter ""include_recent"" (boolean) which, if set to true, returns logs from the past 7 days by default.",0.5,partial,True,0.2345,True,high,True
list top n DigitalOcean autoscale pool CPU utilization report,True,"To retrieve a top N report of DigitalOcean autoscale pools based on their CPU utilization, you have two main API endpoints depending on the metric you want:

1. For the current CPU utilization of the autoscale pools, use the GET request:  
   **GET /app/api/reports/top_n/DIGITALOCEAN_AUTOSCALE_POOL/current_cpu_utilization**

2. For the target CPU utilization that the autoscale pools aim to maintain, use the GET request:  
   **GET /app/api/reports/top_n/DIGITALOCEAN_AUTOSCALE_POOL/target_cpu_utilization**

Both endpoints return a top N report, where you can specify how many pools to include in the report via a query parameter `limit` (default is 10). For example:  
`GET /app/api/reports/top_n/DIGITALOCEAN_AUTOSCALE_POOL/current_cpu_utilization?limit=5`

This will give you the top 5 DigitalOcean autoscale pools ranked by their current CPU utilization.",0.0,true,False,0.4382,True,high,True
How can I list all setting profiles for server monitoring,True,"To list all configured server monitoring setting profiles, you can use either of the following GET endpoints:

- **GET /app/api/setting_profile**  
- **GET /app/api/short/setting_profile**

Both endpoints return the list of all server monitoring setting profiles configured in your account. The difference is that the `/short/` endpoint provides a summarized version with fewer details, ideal for quick lookups.

Note that these endpoints require authentication with appropriate API credentials and will return a JSON array of setting profile objects. The default pagination limit is 50 profiles per response, but you can customize this with the optional `limit` query parameter.",0.5,true,True,0.2983,True,medium,True
How do I update a BYOK integration configuration in Site24x7,True,"To update a BYOK (Bring Your Own Key) integration configuration in Site24x7, you need to use the PUT method on the endpoint:

```
PUT /app/api/integration/zia_byok/{id}
```

Replace `{id}` with the specific integration ID you want to update. This endpoint allows you to modify the existing BYOK integration settings, including rotating the API key or changing the external LLM provider details. Ensure you provide the updated configuration data in the request body, typically in JSON format. The response will confirm the successful update of the BYOK integration.",0.5,true,True,0.1035,True,medium,True
